Title,PDF_URL
"Dissimilar laser welding of an as-rolled CoCrFeMnNi high entropy alloy to Inconel 718 superalloy","https://www.sciencedirect.com/science/article/pii/S0030399224008855/pdfft?pid=1-s2.0-S0030399224008855-main.pdf"
"Multiscale characterization of NiTi shape memory alloy to Ti6Al4V dissimilar laser welded joints","https://www.sciencedirect.com/science/article/pii/S0030399224013112/pdfft?pid=1-s2.0-S0030399224013112-main.pdf"
